Target.Name	prot_name	UniProt..SwissProt..Primary.ID.of.Target.Chain	PubChem_CID	variable	value
Solute carrier family 22 member 1	S22A1	O15245	199	Ki 	24000000.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	490.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	10000.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	10000.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	10000.0
Beta-2 adrenergic receptor	ADRB2	P07550	241	Ki 	10000.0
Solute carrier family 22 member 8	S22A8	Q8TCC7	338	Ki 	1020000.0
Carbonic anhydrase 3	CAH3	P07451	338	Ki 	885000.0
Albumin	ALBU	P02768	338	Ki 	5880.0
Carbonic anhydrase 2	CAH2	P00918	338	Ki 	7100.0
Prostaglandin G/H synthase 2	PGH2	P35354	338	Ki 	10000.0
Amyloid-beta precursor protein	A4	P05067	338	Ki 	1800.0
Carbonic anhydrase 2	CAH2	P00918	338	Ki 	7100.0
Carbonic anhydrase 1	CAH1	P00915	338	Ki 	9900.0
Carbonic anhydrase 4	CAH4	P22748	338	Ki 	11100.0
Carbonic anhydrase 9	CAH9	Q16790	338	Ki 	78700.0
Carbonic anhydrase 2	CAH2	P00918	338	Ki 	7120.0
Carbonic anhydrase 2	CAH2	P00918	338	Ki 	740000.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	338	Ki 	678000.0
Carbonic anhydrase 1	CAH1	P00915	338	Ki 	9920.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	338	Ki 	355000.0
Carbonic anhydrase 12	CAH12	O43570	338	Ki 	8800.0
Carbonic anhydrase 7	CAH7	P43166	338	Ki 	82100.0
Carbonic anhydrase 1	CAH1	P00915	338	Ki 	9900.0
Carbonic anhydrase 1	CAH1	P00915	338	Ki 	620000.0
Tyrosine-protein phosphatase non-receptor type 1	PTN1	P18031	338	Ki 	19400000.0
Carbonic anhydrase 14	CAH14	Q9ULX7	338	Ki 	49800.0
Carbonic anhydrase 9	CAH9	Q16790	338	Ki 	78700.0
Carbonic anhydrase 4	CAH4	P22748	370	Ki 	9800.0
Carbonic anhydrase 1	CAH1	P00915	370	Ki 	1052000.0
Carbonic anhydrase 1	CAH1	P00915	370	Ki 	3200.0
Carbonic anhydrase 2	CAH2	P00918	370	Ki 	758000.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	370	Ki 	4080.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	370	Ki 	9970.0
Carbonic anhydrase 2	CAH2	P00918	370	Ki 	2250.0
Carbonic anhydrase 3	CAH3	P07451	370	Ki 	7490.0
Carbonic anhydrase 7	CAH7	P43166	370	Ki 	6070.0
Carbonic anhydrase 9	CAH9	Q16790	370	Ki 	6990.0
Carbonic anhydrase 14	CAH14	Q9ULX7	370	Ki 	7030.0
Carbonic anhydrase 12	CAH12	O43570	370	Ki 	7780.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	871.0
Alpha-1A adrenergic receptor	ADA1A	P35348	444	Ki 	4200.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	560.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	784.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	444	Ki 	10000.0
Sodium-dependent serotonin transporter	SC6A4	P31645	444	Ki 	10000.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	444	Ki 	6970.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	950.0
Muscarinic acetylcholine receptor M5	ACM5	P08912	444	Ki 	10000.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	441.0
Sodium-dependent serotonin transporter	SC6A4	P31645	444	Ki 	13311.0
Sodium-dependent serotonin transporter	SC6A4	P31645	444	Ki 	9100.0
Muscarinic acetylcholine receptor M3	ACM3	P20309	444	Ki 	10000.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	444	Ki 	3642.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	520.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	1800.0
5-hydroxytryptamine receptor 2C	5HT2C	P28335	444	Ki 	10000.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	173.0
Sodium-dependent serotonin transporter	SC6A4	P31645	444	Ki 	10000.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	444	Ki 	10000.0
Histamine H1 receptor	HRH1	P35367	444	Ki 	10000.0
D(2) dopamine receptor	DRD2	P14416	444	Ki 	10000.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	444	Ki 	562.0
Proton-coupled amino acid transporter 1	S36A1	Q7Z2H8	586	Ki 	3200000.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	572.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	407.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	681	Ki 	5300.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	3310.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	42.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	2.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	871.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	1900.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	1.2
D(4) dopamine receptor	DRD4	P21917	681	Ki 	62.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	56.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	260.0
Trace amine-associated receptor 1	TAAR1	Q96RJ0	681	Ki 	422.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	190.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	97.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	11600.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	681	Ki 	323.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	880.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	8.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	20.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	15000.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	920.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	231.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	710.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	681	Ki 	6400.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	180.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	681	Ki 	1770.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	2.9
D(2) dopamine receptor	DRD2	P14416	681	Ki 	1606.0
Sodium-dependent serotonin transporter	SC6A4	P31645	681	Ki 	1100000.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	22.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	15000.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	17.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	7940.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	6.2
D(2) dopamine receptor	DRD2	P14416	681	Ki 	110.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	681	Ki 	5900.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	681	Ki 	67.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	10000.0
Sodium-dependent noradrenaline transporter	SC6A2	P23975	681	Ki 	28000.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	2100.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	11600.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	422.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	8.7
D(2) dopamine receptor	DRD2	P14416	681	Ki 	16.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	1.9
D(4) dopamine receptor	DRD4	P21917	681	Ki 	57.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	1100.0
Melatonin receptor type 1A	MTR1A	P48039	681	Ki 	7100.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	2100.0
Sodium-dependent dopamine transporter	SC6A3	Q01959	681	Ki 	3100.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	544.0
Beta-2 adrenergic receptor	ADRB2	P07550	681	Ki 	61000.0
5-hydroxytryptamine receptor 7	5HT7R	P34969	681	Ki 	10000.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	2100.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	422.0
D(4) dopamine receptor	DRD4	P21917	681	Ki 	42.9
D(2) dopamine receptor	DRD2	P14416	681	Ki 	450.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	231.0
Beta-2 adrenergic receptor	ADRB2	P07550	681	Ki 	10000.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	34.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	759.0
Melatonin receptor type 1B	MTR1B	P49286	681	Ki 	9100.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	3690.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	360.0
D(2) dopamine receptor	DRD2	P14416	681	Ki 	1.9
D(2) dopamine receptor	DRD2	P14416	681	Ki 	48.0
Carbonic anhydrase 1	CAH1	P00915	798	Ki 	27400.0
Carbonic anhydrase 4	CAH4	P22748	798	Ki 	2330.0
Carbonic anhydrase 2	CAH2	P00918	798	Ki 	32500.0
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.18
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.296
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.339
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.25
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.31
Cytochrome P450 1A1	CP1A1	P04798	896	Ki 	59000.0
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.66
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.3
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.263
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.35
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.7
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.29
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.204174
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.239883
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.37
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.08
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.25
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.19
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.34
5-hydroxytryptamine receptor 2C	5HT2C	P28335	896	Ki 	10000.0
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.21
5-hydroxytryptamine receptor 2C	5HT2C	P28335	896	Ki 	10000.0
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.429
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.38
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.88
5-hydroxytryptamine receptor 2B	5HT2B	P41595	896	Ki 	5754.4
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.195
Ribosyldihydronicotinamide dehydrogenase [quinone]	NQO2	P16083	896	Ki 	28.0
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.88
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.18
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.32
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.18
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.33
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.0823
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.2
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.3
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.263027
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.33
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.66
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.3
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.23
5-hydroxytryptamine receptor 2B	5HT2B	P41595	896	Ki 	5754.4
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.66
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.14
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.304
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.66
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.22
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.12
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.141254
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.88
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.25
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.24
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.34
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.24
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.15
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.41
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.4
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	0.41
5-hydroxytryptamine receptor 2B	5HT2B	P41595	896	Ki 	10000.0
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.275423
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.281838
5-hydroxytryptamine receptor 2C	5HT2C	P28335	896	Ki 	10000.0
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.288403
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.23
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.48
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.13
Cytochrome P450 1B1	CP1B1	Q16678	896	Ki 	14000.0
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.41
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.3
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.617
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.24
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.2
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.14
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.7
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.4
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	0.61
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.21
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.12
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	1.11
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.281838
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.56
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	0.0823
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.53
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.3
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.165959
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.33
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	0.14
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.52
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.14
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.27
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.12
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.46
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.31
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.204174
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.53
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	0.61
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	0.0915
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.13
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	1.1
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.741
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.21
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.301995
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	0.61
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.281838
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.33
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.23
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.5
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.35
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.31
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.525
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.41
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	1.48
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.288403
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.4
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.331
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.288403
Melatonin receptor type 1A/1B	MTR1A	P48039	896	Ki 	0.61
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.091
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.15
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.295121
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.2
Cytochrome P450 1A2	CP1A2	P05177	896	Ki 	12000.0
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.95
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.39
Histamine H3 receptor	HRH3	Q9Y5N1	896	Ki 	0.5
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.17378
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.338844
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.25
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.34
Ribosyldihydronicotinamide dehydrogenase [quinone]	NQO2	P16083	896	Ki 	57.0
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.08
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.091
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.288403
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.18
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.12
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.12
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.3
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.296
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.29
Melatonin receptor type 1B	MTR1B	P49286	896	Ki 	0.429
Melatonin receptor type 1A	MTR1A	P48039	896	Ki 	0.2
Coagulation factor VII/Tissue factor	FA7	P08709	936	Ki 	8000000.0
Carbonic anhydrase 4	CAH4	P22748	996	Ki 	9500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 12	CAH12	O43570	996	Ki 	9200.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	996	Ki 	500000.0
Carbonic anhydrase 12	CAH12	O43570	996	Ki 	9200.0
Carbonic anhydrase 4	CAH4	P22748	996	Ki 	9700.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 7	CAH7	P43166	996	Ki 	710000.0
Carbonic anhydrase 14	CAH14	Q9ULX7	996	Ki 	11500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	996	Ki 	543000.0
Carbonic anhydrase 7	CAH7	P43166	996	Ki 	710000.0
Carbonic anhydrase 4	CAH4	P22748	996	Ki 	9500.0
Carbonic anhydrase 14	CAH14	Q9ULX7	996	Ki 	11500.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	996	Ki 	218000.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	996	Ki 	218000.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10240.0
Carbonic anhydrase 12	CAH12	O43570	996	Ki 	9200.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 7	CAH7	P43166	996	Ki 	710000.0
Carbonic anhydrase 14	CAH14	Q9ULX7	996	Ki 	11500.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 7	CAH7	P43166	996	Ki 	500000.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 12	CAH12	O43570	996	Ki 	9200.0
Carbonic anhydrase 3	CAH3	P07451	996	Ki 	2700.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10100.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 14	CAH14	Q9ULX7	996	Ki 	11500.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 3	CAH3	P07451	996	Ki 	2700.0
Carbonic anhydrase 3	CAH3	P07451	996	Ki 	2700.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	996	Ki 	218000.0
Carbonic anhydrase 3	CAH3	P07451	996	Ki 	2700.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	7400.0
Carbonic anhydrase 4	CAH4	P22748	996	Ki 	9500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	996	Ki 	543000.0
Carbonic anhydrase 12	CAH12	O43570	996	Ki 	9200.0
Carbonic anhydrase 4	CAH4	P22748	996	Ki 	9500.0
Carbonic anhydrase 3	CAH3	P07451	996	Ki 	2700.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	996	Ki 	543000.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5600.0
Carbonic anhydrase 12	CAH12	O43570	996	Ki 	9200.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 12	CAH12	O43570	996	Ki 	9200.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	996	Ki 	543000.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	10200.0
Carbonic anhydrase 9	CAH9	Q16790	996	Ki 	8800.0
Carbonic anhydrase 4	CAH4	P22748	996	Ki 	14300.0
Carbonic anhydrase 1	CAH1	P00915	996	Ki 	17300.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	996	Ki 	218000.0
Carbonic anhydrase 14	CAH14	Q9ULX7	996	Ki 	11500.0
Carbonic anhydrase 7	CAH7	P43166	996	Ki 	710000.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	996	Ki 	218000.0
Carbonic anhydrase 2	CAH2	P00918	996	Ki 	5500.0
Carbonic anhydrase 12	CAH12	O43570	996	Ki 	9200.0
Carbonic anhydrase 4	CAH4	P22748	996	Ki 	9500.0
G-protein coupled receptor 35	GPR35	Q9HC97	1024	Ki 	332.0
Carbonic anhydrase 12	CAH12	O43570	1102	Ki 	44100.0
Carbonic anhydrase 14	CAH14	Q9ULX7	1102	Ki 	1000.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	1102	Ki 	1220.0
Carbonic anhydrase 7	CAH7	P43166	1102	Ki 	1230.0
Carbonic anhydrase 3	CAH3	P07451	1102	Ki 	11500.0
Carbonic anhydrase 9	CAH9	Q16790	1102	Ki 	1370.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	1102	Ki 	1440.0
Carbonic anhydrase 4	CAH4	P22748	1102	Ki 	112.0
Carbonic anhydrase 2	CAH2	P00918	1102	Ki 	1110.0
Carbonic anhydrase 1	CAH1	P00915	1102	Ki 	1400.0
Carbonic anhydrase 12	CAH12	O43570	1103	Ki 	27600.0
Carbonic anhydrase 12	CAH12	O43570	1103	Ki 	27600.0
Carbonic anhydrase 9	CAH9	Q16790	1103	Ki 	13300.0
Carbonic anhydrase 7	CAH7	P43166	1103	Ki 	710.0
Carbonic anhydrase 1	CAH1	P00915	1103	Ki 	231000.0
Carbonic anhydrase 2	CAH2	P00918	1103	Ki 	84000.0
Carbonic anhydrase 2	CAH2	P00918	1103	Ki 	84000.0
Carbonic anhydrase 14	CAH14	Q9ULX7	1103	Ki 	860.0
Carbonic anhydrase 3	CAH3	P07451	1103	Ki 	167000.0
Carbonic anhydrase 9	CAH9	Q16790	1103	Ki 	13300.0
Carbonic anhydrase 5B, mitochondrial	CAH5B	Q9Y2D0	1103	Ki 	830.0
Carbonic anhydrase 1	CAH1	P00915	1103	Ki 	231000.0
Carbonic anhydrase 5A, mitochondrial	CAH5A	P35218	1103	Ki 	840.0
Carbonic anhydrase 4	CAH4	P22748	1103	Ki 	10.0
Proton-coupled amino acid transporter 1	S36A1	Q7Z2H8	1123	Ki 	7800000.0
Guanine deaminase	GUAD	Q9Y2T3	1175	Ki 	4340.0
Solute carrier family 22 member 8	S22A8	Q8TCC7	1175	Ki 	275000.0
Adenosine receptor A2a	AA2AR	P29274	1329	Ki 	260.0
Adenosine receptor A3	AA3R	P0DMS8	1329	Ki 	759.0
Adenosine receptor A2a	AA2AR	P29274	1329	Ki 	260.0
Adenosine receptor A1	AA1R	P30542	1329	Ki 	0.5
Adenosine receptor A3	AA3R	P0DMS8	1329	Ki 	3960.0
Adenosine receptor A1	AA1R	P30542	1329	Ki 	3.2
Adenosine receptor A3	AA3R	P0DMS8	1329	Ki 	795.0
Adenosine receptor A3	AA3R	P0DMS8	1329	Ki 	1000.0
Adenosine receptor A2a	AA2AR	P29274	1329	Ki 	330.0
Adenosine receptor A3	AA3R	P0DMS8	1329	Ki 	985.0
Adenosine receptor A2b	AA2BR	P29275	1329	Ki 	51.0
Adenosine receptor A3	AA3R	P0DMS8	1329	Ki 	1300.0
Adenosine receptor A3	AA3R	P0DMS8	1329	Ki 	759.0
Adenosine receptor A1	AA1R	P30542	1329	Ki 	3.2
