PubChem_CID	name	iupac_name	inchi_key	References	ototoxicity_sum	abs_sum	score	class
890	Phytate	(2,3,4,5,6-pentaphosphonooxycyclohexyl) dihydrogen phosphate	IMQLKJBTEOYOSI-UHFFFAOYSA-N	41271447	-1	1	-0.0084217618325753	otoprotective
896	Melatonin	N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide	DRLFMBDRBRZALE-UHFFFAOYSA-N	41914017, 38725150, 40937151, 36092781, 34923676, 30833978, 31092439, 30892162, 31338024, 31521449, 29457627, 26915150, 27855522, 27598454, 24945170, 25413777, 23311701, 22320124, 21673362, 18957160, 19434285, 15170574, 10807352, 10626598, 10709968, 9504599	-20	26	-0.168435236651507	otoprotective
935	Nickel	nickel	PXHVJJICTQNCMI-UHFFFAOYSA-N	41383593, 27682216, 14636620	3	3	0.0252652854977261	ototoxic
936	Nicotinamide	pyridine-3-carboxamide	DFPAKSUCGFBDDF-UHFFFAOYSA-N	38225752, 22490890, 16979764, 11137357, 6230750	-5	5	-0.0421088091628769	otoprotective
947	Nitrogen	molecular nitrogen	IJGRMHOSHXDMSA-UHFFFAOYSA-N	6491243	1	1	0.0084217618325753	ototoxic
948	Nitrous oxide	nitrous oxide	GQPLMRYTRLFLPF-UHFFFAOYSA-N	29702684, 28511452, 26496821, 29911602, 24356165, 6354585	6	6	0.0505305709954523	ototoxic
977	Oxygen	molecular oxygen	MYMOFIZGZYHOMD-UHFFFAOYSA-N	40213180, 38985051, 31523791, 11524902, 580181, 402882	4	6	0.0336870473303015	ototoxic
985	Palmitic acid	hexadecanoic acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	3264488	-1	1	-0.0084217618325753	otoprotective
996	Phenol	phenol	ISWSIDIOOBJBQZ-UHFFFAOYSA-N	36775771, 2282220, 2648756	3	3	0.0252652854977261	ototoxic
1024	Pyrroloquinoline quinone	4,5-dioxo-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylic acid	MMXZSJMASHPLLR-UHFFFAOYSA-N	37650462	-1	1	-0.0084217618325753	otoprotective
1030	Propylene glycol	propane-1,2-diol	DNIAPMSPPWPWGF-UHFFFAOYSA-N	2596625, 2495509, 3228184, 7192939, 718530, 1207541	6	6	0.0505305709954523	ototoxic
1045	1,4-diaminobutane	butane-1,4-diamine	KIDHWZJUCRJVML-UHFFFAOYSA-N	19001365	-1	1	-0.0084217618325753	otoprotective
1046	Pyrazinamide	pyrazine-2-carboxamide	IPEHBUMCGVEMRF-UHFFFAOYSA-N	34769860, 28410693, 22459550	3	3	0.0252652854977261	ototoxic
1054	Pyridoxine	4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol	LXNHXLLTXMVWPM-UHFFFAOYSA-N	31092035, 28623857, 19336890	1	3	0.0084217618325753	ototoxic
1066	Quinolinic acid	pyridine-2,3-dicarboxylic acid	GJAWHXHKYYXBSV-UHFFFAOYSA-N	20556589	1	1	0.0084217618325753	ototoxic
1084	Thiosulfate ion	dioxido-oxo-sulfanylidene-lambda6-sulfane	DHCDFWKWKRSZHF-UHFFFAOYSA-L	8261581	-1	1	-0.0084217618325753	otoprotective
1102	Spermidine	N'-(3-aminopropyl)butane-1,4-diamine	ATHGHQPFGPMSJY-UHFFFAOYSA-N	3788534, 3778525	2	2	0.0168435236651507	ototoxic
1103	Spermine	N,N'-bis(3-aminopropyl)butane-1,4-diamine	PFNFFQXMRSDOHW-UHFFFAOYSA-N	3619292, 3788534, 3778525	3	3	0.0252652854977261	ototoxic
1123	Taurine	2-aminoethanesulfonic acid	XOAAWQZATWQOTB-UHFFFAOYSA-N	38784349, 25202928, 24312759, 18281904, 18799819, 2310548	-4	6	-0.0336870473303015	otoprotective
1130	Thiamine	2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol	JZRWCGZRTZMZEH-UHFFFAOYSA-N	40962483, 36431232, 35106226, 29450569, 29545765, 25027701	-6	6	-0.0505305709954523	otoprotective
1140	Toluene	toluene	YXFVVABEGXRONW-UHFFFAOYSA-N	41632515, 37344936, 37169161, 33685569, 33275083, 33722544, 32236973, 24684406, 23278281, 22728796, 21783526, 21783525, 22064681, 21292641, 25991943, 20937727, 20727840, 19635754, 19042192, 18468977, 18259983, 18848622, 18160254, 17555896, 17630415, 18420380, 17517824, 15660228, 12633735, 15135026, 12462452, 12062755, 12194157, 11499998, 10936075, 10440486, 10386830, 10560776, 9136129, 9306242, 9380004, 9070349, 9284647, 9363369, 9367235, 8571371, 7623742, 7944568, 7852200, 8150735, 8071147, 8171264, 8277926, 2740427, 3244344, 3703091, 3487913, 4048235, 3906869, 6472555, 6493426, 6856010, 6977982, 6977203	64	64	0.538992757284824	ototoxic
1176	Urea	urea	XSQUKJJJFZCRTK-UHFFFAOYSA-N	3341703	1	1	0.0084217618325753	ototoxic
1216	76326-31-3	2-amino-5-phosphonopentanoic acid	VOROEQBFPPIACJ-UHFFFAOYSA-N	1681996	-1	1	-0.0084217618325753	otoprotective
1221	Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid	2-amino-3-(5-methyl-3-oxo-1,2-oxazol-4-yl)propanoic acid	UUDAMDVQRQNNHZ-UHFFFAOYSA-N	19625985, 15376671, 15500969, 14644462, 11385180, 10958396, 9263038, 9070634, 1684414	9	9	0.0757958564931784	ototoxic
1329	8-cyclopentyl-1,3-dipropylxanthine	8-cyclopentyl-1,3-dipropyl-7H-purine-2,6-dione	FFBDFADSZUINTG-UHFFFAOYSA-N	15081879	-1	1	-0.0084217618325753	otoprotective
1367	1-aminobenzotriazole	benzotriazol-1-amine	JCXKHYLLVKZPKE-UHFFFAOYSA-N	22546275	-1	1	-0.0084217618325753	otoprotective
1474	2,2'-bipyridine	2-pyridin-2-ylpyridine	ROFVEXUMMXZLPA-UHFFFAOYSA-N	12121739, 11437646	-2	2	-0.0168435236651507	otoprotective
1598	2-aminoethyl diphenylborinate	2-diphenylboranyloxyethanamine	BLZVCIGGICSWIG-UHFFFAOYSA-N	34902678	-1	1	-0.0084217618325753	otoprotective
1615	Mdma	1-(1,3-benzodioxol-5-yl)-N-methylpropan-2-amine	SHXWCVYOXRDMCX-UHFFFAOYSA-N	11779309	1	1	0.0084217618325753	ototoxic
1639	Amitrole	1H-1,2,4-triazol-5-amine	KLSJWNVTNUYHDU-UHFFFAOYSA-N	25820916	-1	1	-0.0084217618325753	otoprotective
1645	3-aminobenzamide	3-aminobenzamide	GSCPDZHWVNUUFI-UHFFFAOYSA-N	26963167	-1	1	-0.0084217618325753	otoprotective
1678	3-nitropropionic acid	3-nitropropanoic acid	WBLZUCOIBUDNBV-UHFFFAOYSA-N	29032664, 23164932, 19908248, 20026213, 15232290, 15809501	6	6	0.0505305709954523	ototoxic
1727	4-aminopyridine	pyridin-4-amine	NUKYPUAOHBNCPY-UHFFFAOYSA-N	39954116, 34484942, 28716283, 24587826, 23184313, 22783369, 23589193, 12723458, 9083812, 8951443, 8017870, 8504436, 1510353	11	13	0.0926393801583291	ototoxic
1752	4-nonylphenol	4-nonylphenol	IGFHQQFPSIBGKE-UHFFFAOYSA-N	27847309	1	1	0.0084217618325753	ototoxic
1775	Phenytoin	5,5-diphenylimidazolidine-2,4-dione	CXOFVDLJLONNDW-UHFFFAOYSA-N	36057761, 34628237, 32457604, 32130500, 28838247, 27306762, 20633037, 19713257, 19169651, 9332883, 8649611, 1675495, 2196420, 2256875, 3925335	13	15	0.10948290382348	ototoxic
1880	7,8-dihydroxyflavone	7,8-dihydroxy-2-phenylchromen-4-one	COCYGNDCWFKTMF-UHFFFAOYSA-N	33373328, 23926258	-2	2	-0.0168435236651507	otoprotective
1935	Tacrine	1,2,3,4-tetrahydroacridin-9-amine	YLJREFDVOIBQDA-UHFFFAOYSA-N	23444481, 19241104, 2340845, 2340845	0	4	0.0	undetermined
1983	Acetaminophen	N-(4-hydroxyphenyl)acetamide	RZVAJINKPMORJF-UHFFFAOYSA-N	38882992, 37889440, 33414397, 30895271, 29757919, 29514362, 29457627, 31282945, 29210970, 28333727, 26982240, 26930622, 24505966, 24381620, 24166742, 23818046, 24793116, 22786518, 21999330, 20935616, 20193831, 20493351, 8877022, 799981	18	24	0.151591712986357	ototoxic
1986	Acetazolamide	N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide	BZKPWHYZMXOIDC-UHFFFAOYSA-N	34484942, 30756031, 28695384, 27694262, 26728486, 26932948, 16517444, 3332564	8	8	0.067374094660603	ototoxic
1995	N-acetyl-dl-leucine	2-acetamido-4-methylpentanoic acid	WXNXCEHXYPACJF-UHFFFAOYSA-N	11207808	-1	1	-0.0084217618325753	otoprotective
